,annotatable_entities,annotated_entities,coverage,consistent_entities,consistency,specificity
BIOMD0000000300.xml,28,27,0.96,26,0.96,0.72
BIOMD0000000466.xml,66,29,0.44,26,0.9,0.95
BIOMD0000000472.xml,942,942,1.0,939,1.0,0.82
BIOMD0000000314.xml,26,26,1.0,25,0.96,0.97
BIOMD0000000499.xml,28,24,0.86,22,0.92,0.99
BIOMD0000000248.xml,17,17,1.0,17,1.0,0.86
BIOMD0000000274.xml,5,5,1.0,5,1.0,0.5
BIOMD0000000512.xml,120,36,0.3,33,0.92,0.97
BIOMD0000000506.xml,116,57,0.49,57,1.0,0.68
BIOMD0000000260.xml,49,48,0.98,48,1.0,0.75
BIOMD0000000738.xml,42,28,0.67,28,1.0,0.71
BIOMD0000000710.xml,25,10,0.4,10,1.0,0.98
BIOMD0000000076.xml,7,7,1.0,7,1.0,0.93
BIOMD0000000062.xml,11,8,0.73,7,0.88,0.89
BIOMD0000000704.xml,52,15,0.29,15,1.0,0.58
BIOMD0000000937.xml,11,3,0.27,3,1.0,1.0
BIOMD0000000089.xml,54,54,1.0,48,0.89,0.77
BIOMD0000000923.xml,10,,0.0,,,
BIOMD0000000922.xml,8,,0.0,,,
BIOMD0000000936.xml,5,1,0.2,1,1.0,1.0
BIOMD0000000088.xml,219,156,0.71,150,0.96,0.9
BIOMD0000000063.xml,20,16,0.8,14,0.88,0.89
BIOMD0000000705.xml,110,59,0.54,59,1.0,0.75
BIOMD0000000711.xml,39,10,0.26,10,1.0,0.81
BIOMD0000000077.xml,15,9,0.6,8,0.89,0.65
BIOMD0000000739.xml,49,1,0.02,1,1.0,1.0
BIOMD0000000507.xml,9,9,1.0,9,1.0,0.91
BIOMD0000000261.xml,49,48,0.98,48,1.0,0.75
BIOMD0000000275.xml,16,16,1.0,16,1.0,0.91
BIOMD0000000513.xml,56,32,0.57,31,0.97,0.92
BIOMD0000000249.xml,31,31,1.0,23,0.74,0.17
BIOMD0000000498.xml,68,66,0.97,66,1.0,0.98
BIOMD0000000473.xml,1014,1014,1.0,1011,1.0,0.82
BIOMD0000000315.xml,49,49,1.0,49,1.0,0.85
BIOMD0000000301.xml,25,24,0.96,23,0.96,0.9
BIOMD0000000467.xml,47,21,0.45,19,0.9,1.0
BIOMD0000000329.xml,13,5,0.38,4,0.8,0.9
BIOMD0000000856.xml,56,,0.0,,,
BIOMD0000000842.xml,49,12,0.24,12,1.0,0.98
BIOMD0000000117.xml,12,12,1.0,11,0.92,0.8
BIOMD0000000671.xml,9,,0.0,,,
BIOMD0000000665.xml,23,16,0.7,13,0.81,0.94
BIOMD0000000103.xml,61,50,0.82,45,0.9,0.63
BIOMD0000000895.xml,40,17,0.42,17,1.0,0.67
BIOMD0000000659.xml,10,10,1.0,10,1.0,0.9
BIOMD0000000881.xml,16,10,0.62,10,1.0,0.9
BIOMD0000000897.xml,8,,0.0,,,
BIOMD0000000129.xml,2,2,1.0,1,0.5,1.0
BIOMD0000000883.xml,162,44,0.27,44,1.0,0.99
BIOMD0000000673.xml,2,,0.0,,,
BIOMD0000000115.xml,11,11,1.0,11,1.0,0.82
BIOMD0000000101.xml,22,20,0.91,20,1.0,0.87
BIOMD0000000667.xml,253,180,0.71,179,0.99,0.69
BIOMD0000000854.xml,13,3,0.23,3,1.0,0.64
BIOMD0000000698.xml,18,7,0.39,6,0.86,0.96
BIOMD0000000840.xml,18,,0.0,,,
BIOMD0000000868.xml,12,3,0.25,3,1.0,1.0
BIOMD0000000459.xml,9,7,0.78,4,0.57,0.55
BIOMD0000000317.xml,12,12,1.0,12,1.0,0.69
BIOMD0000000465.xml,31,10,0.32,9,0.9,0.98
BIOMD0000000303.xml,89,89,1.0,89,1.0,0.94
BIOMD0000000539.xml,19,15,0.79,15,1.0,0.63
BIOMD0000000263.xml,24,23,0.96,22,0.96,0.88
BIOMD0000000505.xml,116,56,0.48,56,1.0,0.69
BIOMD0000000511.xml,86,46,0.53,44,0.96,0.95
BIOMD0000000277.xml,6,6,1.0,6,1.0,0.84
BIOMD0000000288.xml,34,20,0.59,17,0.85,0.79
BIOMD0000000049.xml,252,171,0.68,157,0.92,0.82
BIOMD0000000707.xml,17,7,0.41,7,1.0,0.93
BIOMD0000000061.xml,52,45,0.87,39,0.87,0.92
BIOMD0000000075.xml,27,23,0.85,22,0.96,0.72
BIOMD0000000713.xml,14,1,0.07,1,1.0,0.76
BIOMD0000000920.xml,10,3,0.3,2,0.67,0.61
BIOMD0000000934.xml,37,21,0.57,20,0.95,0.92
BIOMD0000000908.xml,22,,0.0,,,
BIOMD0000000909.xml,14,1,0.07,1,1.0,0.87
BIOMD0000000935.xml,8,2,0.25,2,1.0,1.0
BIOMD0000000921.xml,20,,0.0,,,
BIOMD0000000074.xml,78,59,0.76,55,0.93,0.68
BIOMD0000000712.xml,12,,0.0,,,
BIOMD0000000706.xml,190,110,0.58,109,0.99,0.78
BIOMD0000000060.xml,9,9,1.0,8,0.89,0.97
BIOMD0000000048.xml,50,27,0.54,21,0.78,0.94
BIOMD0000000289.xml,19,14,0.74,13,0.93,0.83
BIOMD0000000510.xml,87,46,0.53,45,0.98,0.94
BIOMD0000000276.xml,6,6,1.0,6,1.0,0.84
BIOMD0000000262.xml,24,23,0.96,22,0.96,0.87
BIOMD0000000504.xml,212,53,0.25,53,1.0,0.96
BIOMD0000000538.xml,5,1,0.2,1,1.0,0.83
BIOMD0000000464.xml,28,17,0.61,15,0.88,0.97
BIOMD0000000302.xml,3,2,0.67,2,1.0,0.84
BIOMD0000000316.xml,9,9,1.0,9,1.0,0.73
BIOMD0000000470.xml,1188,1188,1.0,1186,1.0,0.7
BIOMD0000000458.xml,12,12,1.0,12,1.0,0.73
BIOMD0000000869.xml,14,3,0.21,3,1.0,1.0
BIOMD0000000841.xml,17,5,0.29,5,1.0,0.96
BIOMD0000000699.xml,87,66,0.76,66,1.0,0.64
BIOMD0000000855.xml,18,10,0.56,10,1.0,0.83
BIOMD0000000100.xml,19,19,1.0,19,1.0,0.91
BIOMD0000000666.xml,98,39,0.4,8,0.21,0.99
BIOMD0000000672.xml,2,1,0.5,1,1.0,0.87
BIOMD0000000114.xml,10,10,1.0,10,1.0,0.79
BIOMD0000000882.xml,11,,0.0,,,
BIOMD0000000896.xml,26,10,0.38,10,1.0,1.0
BIOMD0000000128.xml,8,8,1.0,6,0.75,0.87
BIOMD0000000615.xml,23,6,0.26,6,1.0,0.9
BIOMD0000000173.xml,55,50,0.91,49,0.98,0.58
BIOMD0000000167.xml,20,16,0.8,16,1.0,0.88
BIOMD0000000601.xml,11,10,0.91,10,1.0,0.95
BIOMD0000000629.xml,9,8,0.89,6,0.75,0.78
BIOMD0000000832.xml,48,25,0.52,24,0.96,1.0
BIOMD0000000198.xml,21,20,0.95,20,1.0,0.99
BIOMD0000000826.xml,40,9,0.22,9,1.0,0.94
BIOMD0000000371.xml,5,2,0.4,1,0.5,0.94
BIOMD0000000417.xml,5,3,0.6,1,0.33,0.45
BIOMD0000000403.xml,6,4,0.67,4,1.0,0.42
BIOMD0000000365.xml,65,2,0.03,2,1.0,1.0
BIOMD0000000359.xml,19,4,0.21,4,1.0,1.0
BIOMD0000000205.xml,401,148,0.37,144,0.97,0.77
BIOMD0000000563.xml,28,1,0.04,1,1.0,0.38
BIOMD0000000577.xml,100,1,0.01,1,1.0,0.7
BIOMD0000000211.xml,52,52,1.0,51,0.98,0.98
BIOMD0000000239.xml,109,71,0.65,67,0.94,0.98
BIOMD0000000588.xml,236,1,0.0,1,1.0,1.0
BIOMD0000000761.xml,22,15,0.68,15,1.0,0.98
BIOMD0000000007.xml,49,29,0.59,28,0.97,0.81
BIOMD0000000013.xml,51,51,1.0,51,1.0,0.99
BIOMD0000000775.xml,16,10,0.62,10,1.0,0.82
BIOMD0000000985.xml,18,6,0.33,6,1.0,0.55
BIOMD0000000749.xml,15,10,0.67,10,1.0,0.79
BIOMD0000000991.xml,21,,0.0,,,
BIOMD0000000946.xml,9,7,0.78,6,0.86,1.0
BIOMD0000000952.xml,33,15,0.45,14,0.93,0.55
BIOMD0000000953.xml,58,37,0.64,37,1.0,0.98
BIOMD0000000947.xml,13,9,0.69,9,1.0,1.0
BIOMD0000000990.xml,91,77,0.85,75,0.97,0.96
BIOMD0000000748.xml,17,10,0.59,10,1.0,0.86
BIOMD0000000984.xml,10,,0.0,,,
BIOMD0000000012.xml,20,20,1.0,19,0.95,0.88
BIOMD0000000774.xml,8,4,0.5,4,1.0,0.69
BIOMD0000000760.xml,8,4,0.5,4,1.0,0.76
BIOMD0000000006.xml,9,9,1.0,8,0.89,0.84
BIOMD0000000589.xml,15,15,1.0,12,0.8,0.94
BIOMD0000000238.xml,2,1,0.5,1,1.0,1.0
BIOMD0000000576.xml,97,18,0.19,17,0.94,1.0
BIOMD0000000210.xml,32,21,0.66,20,0.95,0.72
BIOMD0000000204.xml,24,16,0.67,15,0.94,0.67
BIOMD0000000562.xml,2,,0.0,,,
BIOMD0000000358.xml,22,6,0.27,6,1.0,1.0
BIOMD0000000402.xml,6,4,0.67,4,1.0,0.42
BIOMD0000000364.xml,32,10,0.31,10,1.0,0.82
BIOMD0000000370.xml,34,34,1.0,33,0.97,0.99
BIOMD0000000416.xml,54,46,0.85,43,0.93,0.81
BIOMD0000000199.xml,27,27,1.0,27,1.0,0.9
BIOMD0000000827.xml,21,11,0.52,11,1.0,1.0
BIOMD0000000833.xml,146,39,0.27,39,1.0,1.0
BIOMD0000000628.xml,724,12,0.02,12,1.0,0.99
BIOMD0000000166.xml,15,13,0.87,13,1.0,0.81
BIOMD0000000600.xml,51,33,0.65,31,0.94,0.8
BIOMD0000000614.xml,7,3,0.43,3,1.0,0.8
BIOMD0000000172.xml,47,47,1.0,47,1.0,0.96
BIOMD0000000602.xml,100,96,0.96,92,0.96,0.98
BIOMD0000000164.xml,61,21,0.34,21,1.0,0.88
BIOMD0000000170.xml,27,23,0.85,23,1.0,0.81
BIOMD0000000616.xml,16,5,0.31,5,1.0,0.93
BIOMD0000000158.xml,11,8,0.73,8,1.0,0.78
BIOMD0000000819.xml,43,36,0.84,36,1.0,0.85
BIOMD0000000825.xml,9,4,0.44,4,1.0,0.64
BIOMD0000000831.xml,11,3,0.27,3,1.0,1.0
BIOMD0000000366.xml,22,7,0.32,7,1.0,1.0
BIOMD0000000400.xml,15,15,1.0,14,0.93,0.71
BIOMD0000000414.xml,6,6,1.0,5,0.83,0.88
BIOMD0000000372.xml,8,7,0.88,4,0.57,0.91
BIOMD0000000428.xml,58,55,0.95,55,1.0,0.92
BIOMD0000000399.xml,229,148,0.65,147,0.99,0.65
BIOMD0000000212.xml,51,51,1.0,51,1.0,0.92
BIOMD0000000574.xml,773,68,0.09,68,1.0,1.0
BIOMD0000000560.xml,187,52,0.28,50,0.96,0.94
BIOMD0000000206.xml,22,15,0.68,14,0.93,0.97
BIOMD0000000548.xml,5,3,0.6,3,1.0,0.79
BIOMD0000000776.xml,8,3,0.38,1,0.33,0.77
BIOMD0000000010.xml,20,19,0.95,19,1.0,0.89
BIOMD0000000004.xml,14,7,0.5,6,0.86,0.88
BIOMD0000000762.xml,11,5,0.45,5,1.0,0.94
BIOMD0000000038.xml,29,24,0.83,22,0.92,0.86
BIOMD0000000986.xml,18,13,0.72,12,0.92,0.8
BIOMD0000000979.xml,11,,0.0,,,
BIOMD0000000951.xml,69,17,0.25,17,1.0,1.0
BIOMD0000000789.xml,11,4,0.36,3,0.75,0.92
BIOMD0000000945.xml,7,5,0.71,5,1.0,1.0
BIOMD0000000944.xml,11,,0.0,,,
BIOMD0000000788.xml,33,17,0.52,17,1.0,0.81
BIOMD0000000950.xml,10,,0.0,,,
BIOMD0000000978.xml,9,,0.0,,,
BIOMD0000000039.xml,16,15,0.94,15,1.0,0.87
BIOMD0000000987.xml,21,11,0.52,10,0.91,0.81
BIOMD0000000005.xml,20,13,0.65,12,0.92,0.87
BIOMD0000000763.xml,14,9,0.64,9,1.0,0.77
BIOMD0000000777.xml,13,3,0.23,3,1.0,0.67
BIOMD0000000011.xml,54,41,0.76,41,1.0,0.84
BIOMD0000000549.xml,4,2,0.5,1,0.5,0.58
BIOMD0000000561.xml,3,2,0.67,2,1.0,1.0
BIOMD0000000207.xml,14,12,0.86,12,1.0,0.99
BIOMD0000000213.xml,28,28,1.0,27,0.96,0.92
BIOMD0000000575.xml,140,59,0.42,56,0.95,0.92
BIOMD0000000398.xml,42,22,0.52,22,1.0,0.68
BIOMD0000000429.xml,36,33,0.92,31,0.94,0.8
BIOMD0000000415.xml,17,15,0.88,14,0.93,0.82
BIOMD0000000373.xml,9,8,0.89,6,0.75,0.96
BIOMD0000000367.xml,5,1,0.2,1,1.0,1.0
BIOMD0000000401.xml,5,4,0.8,4,1.0,0.42
BIOMD0000000830.xml,16,3,0.19,3,1.0,0.85
BIOMD0000000824.xml,7,3,0.43,3,1.0,0.91
BIOMD0000000818.xml,23,8,0.35,7,0.88,1.0
BIOMD0000000159.xml,11,8,0.73,8,1.0,0.78
BIOMD0000000171.xml,41,38,0.93,38,1.0,0.73
BIOMD0000000617.xml,8,3,0.38,2,0.67,0.97
BIOMD0000000603.xml,90,80,0.89,79,0.99,0.77
BIOMD0000000165.xml,71,29,0.41,28,0.97,0.91
BIOMD0000000149.xml,64,58,0.91,58,1.0,0.82
BIOMD0000000161.xml,97,62,0.64,62,1.0,0.81
BIOMD0000000607.xml,90,81,0.9,79,0.98,0.77
BIOMD0000000613.xml,97,31,0.32,31,1.0,0.94
BIOMD0000000175.xml,224,34,0.15,33,0.97,0.88
BIOMD0000000820.xml,16,7,0.44,7,1.0,0.52
BIOMD0000000834.xml,240,4,0.02,4,1.0,1.0
BIOMD0000000808.xml,23,11,0.48,10,0.91,0.95
BIOMD0000000439.xml,43,31,0.72,22,0.71,0.87
BIOMD0000000405.xml,16,15,0.94,15,1.0,0.86
BIOMD0000000363.xml,10,3,0.3,3,1.0,1.0
BIOMD0000000377.xml,6,3,0.5,1,0.33,0.96
BIOMD0000000411.xml,25,25,1.0,24,0.96,0.89
BIOMD0000000388.xml,17,8,0.47,8,1.0,0.96
BIOMD0000000559.xml,230,164,0.71,163,0.99,0.76
BIOMD0000000571.xml,170,78,0.46,78,1.0,0.98
BIOMD0000000217.xml,40,23,0.57,23,1.0,0.99
BIOMD0000000203.xml,24,17,0.71,15,0.88,0.67
BIOMD0000000565.xml,93,28,0.3,28,1.0,0.95
BIOMD0000000029.xml,15,15,1.0,14,0.93,0.9
BIOMD0000000997.xml,91,77,0.85,76,0.99,0.96
BIOMD0000000983.xml,19,,0.0,,,
BIOMD0000000015.xml,57,46,0.81,45,0.98,0.95
BIOMD0000000773.xml,11,6,0.55,6,1.0,0.7
BIOMD0000000767.xml,10,5,0.5,5,1.0,0.81
BIOMD0000000001.xml,31,31,1.0,31,1.0,0.99
BIOMD0000000954.xml,63,,0.0,,,
BIOMD0000000940.xml,82,19,0.23,19,1.0,1.0
BIOMD0000000798.xml,16,7,0.44,7,1.0,0.66
BIOMD0000000968.xml,19,1,0.05,1,1.0,1.0
BIOMD0000000969.xml,65,,0.0,,,
BIOMD0000000799.xml,8,4,0.5,4,1.0,0.97
BIOMD0000000941.xml,22,11,0.5,11,1.0,1.0
BIOMD0000000955.xml,23,,0.0,,,
BIOMD0000000766.xml,18,10,0.56,10,1.0,0.86
BIOMD0000000014.xml,388,241,0.62,241,1.0,0.76
BIOMD0000000772.xml,13,4,0.31,3,0.75,0.73
BIOMD0000000982.xml,7,,0.0,,,
BIOMD0000000028.xml,35,25,0.71,24,0.96,0.87
BIOMD0000000996.xml,92,78,0.85,77,0.99,0.96
BIOMD0000000202.xml,28,14,0.5,14,1.0,0.94
BIOMD0000000564.xml,59,59,1.0,56,0.95,0.81
BIOMD0000000570.xml,43,21,0.49,21,1.0,0.95
BIOMD0000000216.xml,25,7,0.28,6,0.86,0.8
BIOMD0000000558.xml,8,3,0.38,3,1.0,0.87
BIOMD0000000389.xml,45,13,0.29,12,0.92,0.96
BIOMD0000000376.xml,13,11,0.85,9,0.82,0.97
BIOMD0000000410.xml,147,146,0.99,138,0.95,0.6
BIOMD0000000404.xml,66,66,1.0,65,0.98,0.71
BIOMD0000000362.xml,69,19,0.28,19,1.0,1.0
BIOMD0000000438.xml,19,13,0.68,12,0.92,0.8
BIOMD0000000809.xml,15,9,0.6,8,0.89,0.94
BIOMD0000000835.xml,95,1,0.01,1,1.0,0.8
BIOMD0000000821.xml,12,7,0.58,7,1.0,0.81
BIOMD0000000612.xml,117,15,0.13,15,1.0,1.0
BIOMD0000000174.xml,16,14,0.88,14,1.0,0.74
BIOMD0000000160.xml,68,49,0.72,46,0.94,0.75
BIOMD0000000606.xml,86,76,0.88,75,0.99,0.79
BIOMD0000000148.xml,15,7,0.47,7,1.0,0.92
BIOMD0000000638.xml,72,43,0.6,43,1.0,0.99
BIOMD0000000176.xml,46,45,0.98,45,1.0,0.96
BIOMD0000000610.xml,90,58,0.64,57,0.98,0.77
BIOMD0000000604.xml,86,76,0.88,75,0.99,0.78
BIOMD0000000162.xml,83,57,0.69,57,1.0,0.81
BIOMD0000000189.xml,34,27,0.79,19,0.7,0.75
BIOMD0000000837.xml,27,9,0.33,8,0.89,0.63
BIOMD0000000823.xml,36,13,0.36,13,1.0,0.63
BIOMD0000000348.xml,9,8,0.89,7,0.88,0.85
BIOMD0000000412.xml,138,136,0.99,134,0.99,0.87
BIOMD0000000374.xml,7,6,0.86,3,0.5,0.96
BIOMD0000000360.xml,19,3,0.16,3,1.0,1.0
BIOMD0000000406.xml,102,102,1.0,101,0.99,0.97
BIOMD0000000228.xml,33,23,0.7,19,0.83,0.69
BIOMD0000000566.xml,6,3,0.5,3,1.0,1.0
BIOMD0000000200.xml,58,42,0.72,41,0.98,0.64
BIOMD0000000214.xml,43,43,1.0,43,1.0,0.89
BIOMD0000000572.xml,50,29,0.58,29,1.0,0.95
BIOMD0000000599.xml,69,34,0.49,34,1.0,0.89
BIOMD0000000758.xml,8,4,0.5,4,1.0,0.75
BIOMD0000000980.xml,11,,0.0,,,
BIOMD0000000994.xml,92,78,0.85,77,0.99,0.96
BIOMD0000000002.xml,32,29,0.91,29,1.0,0.98
BIOMD0000000764.xml,15,8,0.53,8,1.0,0.87
BIOMD0000000770.xml,20,12,0.6,12,1.0,0.87
BIOMD0000000016.xml,21,19,0.9,18,0.95,0.8
BIOMD0000000943.xml,138,119,0.86,119,1.0,0.98
BIOMD0000000957.xml,9,,0.0,,,
BIOMD0000000956.xml,7,,0.0,,,
BIOMD0000000942.xml,35,20,0.57,20,1.0,0.87
BIOMD0000000771.xml,11,3,0.27,3,1.0,0.77
BIOMD0000000017.xml,35,28,0.8,27,0.96,0.95
BIOMD0000000003.xml,12,12,1.0,11,0.92,0.96
BIOMD0000000765.xml,16,9,0.56,7,0.78,0.85
BIOMD0000000995.xml,92,78,0.85,77,0.99,0.96
BIOMD0000000981.xml,29,,0.0,,,
BIOMD0000000759.xml,27,16,0.59,16,1.0,0.8
BIOMD0000000598.xml,86,1,0.01,1,1.0,0.7
BIOMD0000000215.xml,23,23,1.0,21,0.91,0.87
BIOMD0000000573.xml,11,2,0.18,1,0.5,0.69
BIOMD0000000567.xml,6,1,0.17,1,1.0,1.0
BIOMD0000000201.xml,61,58,0.95,58,1.0,0.91
BIOMD0000000229.xml,23,22,0.96,20,0.91,0.98
BIOMD0000000361.xml,15,4,0.27,4,1.0,1.0
BIOMD0000000407.xml,139,139,1.0,139,1.0,0.96
BIOMD0000000413.xml,16,16,1.0,15,0.94,0.88
BIOMD0000000375.xml,7,6,0.86,3,0.5,0.96
BIOMD0000000349.xml,9,8,0.89,7,0.88,0.85
BIOMD0000000822.xml,23,13,0.57,13,1.0,0.97
BIOMD0000000188.xml,42,42,1.0,34,0.81,0.81
BIOMD0000000836.xml,4,1,0.25,1,1.0,0.93
BIOMD0000000605.xml,90,80,0.89,79,0.99,0.77
BIOMD0000000163.xml,46,40,0.87,40,1.0,0.85
BIOMD0000000177.xml,52,50,0.96,50,1.0,0.97
BIOMD0000000611.xml,130,1,0.01,1,1.0,1.0
BIOMD0000000639.xml,29,,0.0,,,
